Universidad,Ciudad,Año de Fundación,Rector,Descripción,Número de Estudiantes,Tipo,DBpedia_URI
Escuela Politécnica Superior de Linares,Linares (Jaén),1976,Desconocido,"La Escuela Politécnica Superior de Linares —EPS de Linares o EPSL— es una escuela de ingeniería española perteneciente a la Universidad de Jaén desde el 1 de julio de 1993. Se encuentra ubicada en el municipio jienense de Linares, en la comunidad autónoma de Andalucía. Su origen se remonta a la fusión en 1976 de dos centros emblemáticos en la ciudad de Linares: la Escuela de Minas (1892) y la Escuela Industrial (1910). Posteriormente, ha ido ampliando la variedad de su oferta formativa con titulaciones de ingeniería de telecomunicaciones y de obras públicas. Las instalaciones actuales de la EPS de Linares se localizan, desde el 1 de septiembre de 2015, en el Campus Científico-Tecnológico de Linares. Hasta esa fecha se habían situado en dos edificios que datan de 1949, en la calle Alfonso X «el Sabio» de Linares, donde era conocida popularmente como «la Escuela de Peritos».",Desconocido,Desconocido,http://dbpedia.org/resource/Escuela_Politécnica_Superior_de_Linares
École pour l'informatique et les nouvelles technologies,Tirana,Desconocido,Desconocido,"La Paris Graduate School of Digital Innovation (En francès École pour l'informatique et les nouvelles technologies, también conocida como EPITECH o European Institute of Technology) es una escuela de ingenieros francesa.​ Su sede central está emplazada en Le Kremlin-Bicêtre, en la región parisiense, teniendo además, otras escuelas en Barcelona,​ Burdeos, Rennes, Marsella, Lille, Lyon, Montpellier, Nancy, Nantes, Niza, Estrasburgo, Toulouse, Saint-André (Reunión) y Tirana.​ También es miembro de IONIS Education Group.​ Forma principalmente expertos en informática de muy alto nivel,​ destinados principalmente para el empleo en las empresas. Forma también directores ejecutivos con su MBA.​",5000,http://dbpedia.org/resource/Computer_Science,http://dbpedia.org/resource/Epitech
Basque Center for Applied Mathematics,Bilbao (sitio arqueológico),2008-09-01,Desconocido,"Basque Center for Applied Mathematics (BCAM) (Centro Vasco de Matemática Aplicada) es un centro de investigación internacional en el ámbito de la Matemática Aplicada que forma parte de la red de Centros de Investigación Vascos de Excelencia (BERC) y que desarrolla su actividad en Bilbao desde septiembre del 2008. BCAM, es fruto de una apuesta estratégica innovadora en el marco de la política vasca de ciencia e innovación del Gobierno Vasco y su Departamento de Educación, Universidades e Investigación.​​ BCAM cuenta con el apoyo de Ikerbasque,​ Innobasque y la Universidad del País Vasco (UPV) como socios fundadores y la Diputación Foral de Vizcaya como socio institucional y que cuenta con proyectos industriales y proyecto competitivos del Ministerio de Economía y Competitividad, el European Research Council (ERC) y la (ESF), entre otros. También colabora en el Basque Cybersecurity Centre (BCSC).",Desconocido,Desconocido,http://dbpedia.org/resource/Basque_Center_for_Applied_Mathematics
Real Conservatorio Superior de Música de Madrid,Madrid,Desconocido,Desconocido,"El Real Conservatorio Superior de Música de Madrid es una escuela superior de música, la más antigua institución pública de enseñanza musical en España, que imparte enseñanzas superiores (equivalentes a universitarias) en música. Su historia, de siglo y medio de duración, es representativa de los avatares de la música en la sociedad española. De sus aulas han salido gran parte de los más importantes intérpretes y compositores españoles de los dos últimos siglos.",Desconocido,Desconocido,http://dbpedia.org/resource/Madrid_Royal_Conservatory
Ánima eskola,Bilbao (sitio arqueológico),2009,Desconocido,"Ánima Escuela de Teatro, Cine y Danza es una escuela de arte dramático que imparte enseñanzas artísticas superiores teatrales situada en el Gran Bilbao, en el municipio de Erandio en Vizcaya, País Vasco en España. Se fundó en 2009 por la actriz rusa Marina Shimanskaya y, el entonces su marido, Algis Arlauskas, actor, guionista y director de cine.",Desconocido,http://dbpedia.org/resource/Drama_school,http://dbpedia.org/resource/Ánima_Eskola_School_of_Drama
Musikene,San Sebastián,2001,Desconocido,Musikene (Euskal Herriko goi-mailako musika ikastegia / Centro Superior de Música del País Vasco) fue creado en 2001 y está situado en la ciudad de San Sebastián (España).,Desconocido,http://dbpedia.org/resource/Private_school,http://dbpedia.org/resource/Musikene
Facultad de Informática de Barcelona,Barcelona,1976,Desconocido,"La Facultad de Informática de Barcelona (FIB) es una facultad de la Universidad Politécnica de Cataluña, situada en Barcelona, España. Se creó en 1976, cuatro años más tarde de la formación de la Universidad Politécnica de Cataluña, con el objetivo de impartir la licenciatura de informática.Empezó en 1977-1978 realizando asignaturas de segundo y tercer ciclo.En el curso 1979-1980 empezó a admitir estudiantes de primer ciclo.En 1988-1989 se creó la diplomatura. Actualmente la FIB está situada en el Campus Nord que comparte con la ETSETB (E.T.S. de Ingeniería de Telecomunicaciones de Barcelona) y la ETSECCPB (E.T.S. de Ingeniería de Caminos, Canales y Puertos de Barcelona).",2106,Desconocido,http://dbpedia.org/resource/Barcelona_School_of_Informatics
Universidad Abad Oliva CEU,Barcelona,2003,http://dbpedia.org/resource/Rafael_Rodriguez-Ponga_y_Salamanca,"La Universidad Abad Oliva CEU​ (en catalán y oficialmente: Universitat Abat Oliba CEU)​ es una universidad privada de iniciativa social, sin ánimo de lucro y de inspiración católica, ubicada en Barcelona, España.​ Adquirió dicha condición en 2003 por decreto del Parlamento de Cataluña, que elevó a universidad el homónimo colegio universitario, fundado en 1973. La Universidad adopta el nombre del abad Oliva, conde de Berga y Ripoll, obispo de Vich, reformador de los monasterios de Cuixá y Ripoll, y fundador del de Montserrat; ya que según la Universidad «aspira a hacer suyo el espíritu de quien estableció hace mil años los cimientos de la Cataluña naciente sobre la base de la cultura romana y cristiana».​ Dedica su nombre del abad Oliva, figura clave en la repoblación de Cataluña sobre la base de la cultura romana y cristiana. Y el pactismo político, cuyas Asambleas de Paz y tregua de Dios fueron el precedente de uno de los primeros parlamentos de Europa. Es una de las tres universidades españolas pertenecientes a la Fundación Universitaria San Pablo CEU, una institución fundada en 1933 por el periodista y abogado del Estado Ángel Herrera Oria. Pertenece a la Asociación Católica de Propagandistas, institución creada en 1908 por el jesuita Ángel Ayala. La sede principal de la UAO CEU es el Campus de Bellesguard, en el distrito de Sarriá-San Gervasio. El arquitecto Miguel Ángel Armengou con estudio en Barcelona, diseña y se encarga de la construcción de la Universidad que rodea la iglesia central de la Universidad.",3,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/Abat_Oliba_CEU_University
Esade Business School,Barcelona,1958,Desconocido,"Esade Business School es una escuela de negocios de la Universidad Ramon Llull de Barcelona, que dispone también de un campus en Madrid. Ofrece titulaciones de grado y postgrado (tanto máster como doctorado).",7674,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/ESADE_Business_School
Esade,Barcelona,Desconocido,Desconocido,"Esade es una institución académica privada de educación superior fundada en 1958, con campus en Barcelona y Madrid, y presente en todo el mundo a través de acuerdos de colaboración con 185 universidades y escuelas de negocios. Actualmente gestiona tres áreas formativas:​ 
* Facultad de Derecho Esade. 
* Esade Business School. 
* Esade Executive Education. Desde 2022, el director general de Esade es Xavier Mendoza.​",10600,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/ESADE
Universidad Francisco de Vitoria,Madrid,1993,Desconocido,"La Universidad Francisco de Vitoria es una universidad privada ubicada en Pozuelo de Alarcón, Comunidad de Madrid (España).​ Es una universidad católica, administrada por Regnum Christi. Su nombre rinde homenaje al padre del Derecho Internacional y teólogo Francisco de Vitoria, de la Orden de los Dominicos. Según un estudio del Instituto de Análisis Industrial y Financiero (IAIF) de la Universidad Complutense de Madrid, la Universidad Francisco de Vitoria se sitúa como la segunda universidad privada de la Comunidad de Madrid y la vigésimo cuarta de España en calidad de docencia.​ Forma parte de la Red de Universidades Anáhuac, red universitaria que integra instituciones de Estados Unidos, Italia, México, Chile y España. También forma parte de la red Europe Direct de la Comisión Europea, al ser la universidad titular de uno de los 37 Centros de Documentación Europea existentes en España.",Desconocido,http://dbpedia.org/resource/Roman_Catholic,http://dbpedia.org/resource/Francisco_de_Vitoria_University
Universidad Europea de Madrid,Villaviciosa de Odón,Desconocido,Desconocido,"La Universidad Europea de Madrid es una universidad privada española​ ubicada en Villaviciosa de Odón (Comunidad de Madrid), que cuenta con otro campus en la localidad de Alcobendas. Acoge a más de 16.000 alumnos de 110 nacionalidades distintas. En 2019 fue elegida quinta mejor universidad privada de España, según un ranking de El Mundo.​",Desconocido,http://dbpedia.org/resource/Private_school,http://dbpedia.org/resource/European_University_of_Madrid
Facultad de Veterinaria (León),León (España),1852,Desconocido,"La Facultad de Veterinaria de la Universidad de León es una de las facultades más antiguas y prestigiosas de España. Fue fundada en 1852 como Escuela de Veterinaria de León en el Convento de San Marcos. Hoy se encuentra situada en el Campus Universitario de Vegazana (Universidad de León). La Facultad posee modernas instalaciones dedicadas a la docencia y la investigación, como el Hospital Clínico Veterinario, el Instituto de Desarrollo Ganadero, la Granja Experimental y la Planta de Elaboración de Alimentos. Colabora estrechamente con la , compartiendo algunos edificios del Campus de Vegazana como el Centro de Investigación de Biomedicina y Genética, y el Instituto de Medio Ambiente. Además, varios centros científicos de la comunidad de Castilla y León, funcionan bajo control y al servicio de la Facultad de Veterinaria de León, como son el Instituto de Biotecnología (INBIOTEC) (en colaboración con la FCCBBAA), el Instituto de Toxicología (INTOXCAL) o el Centro de Selección y Reproducción Animal (CENSYRA).",Desconocido,Desconocido,"http://dbpedia.org/resource/Faculty_of_Veterinary_Medicine,_University_of_León"
Universidad Pablo de Olavide,Sevilla,1997,Desconocido,"La Universidad Pablo de Olavide (UPO) es una universidad pública situada en Sevilla, España. Fundada en 1997, es una de las universidades públicas más recientes, y cuenta aproximadamente con algo más de 11 000 alumnos. Destaca su oferta de grados, dobles grados y postgrados en campos como las Ciencias Jurídicas, Ciencias Sociales, Humanidades, Biotecnología, Ciencias Ambientales, Ciencias del Deporte e Informática. En cuanto a la investigación, se sitúa a la cabeza de los rankings nacionales que tienen en cuenta la productividad según tamaño y recursos. El campus de aproximadamente 140 hectáreas se halla al sureste de Sevilla, perteneciendo al término municipal de Dos Hermanas en su mayoría, limitando con lagunas del río Guadaíra.​ También tiene una pequeña presencia en Alcalá de Guadaíra y Sevilla capital. Lleva su nombre en honor del político ilustrado Pablo de Olavide (1725-1803), el cual destacó por la repoblación y la fundación de diversos municipios de Andalucía en el plan de Nuevas Poblaciones de Andalucía y Sierra Morena y en Sevilla como planificador de la ciudad y reformador de la Universidad de Sevilla. La Universidad Pablo de Olavide está concebida en un modelo de campus único, integrando en un mismo espacio todos sus centros y servicios. Aúna de esta manera sus funciones sociales, docentes, de investigación, residenciales y deportivas en un mismo espacio geográfico. Desde Sevilla, se puede acceder al campus mediante transporte público (autobús urbano y Metro), por la red de carriles para bicicletas o en coche por la carretera de Utrera (A-376).",10858,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/Pablo_de_Olavide_University
Universidad Politécnica de Valencia,Valencia,1971,Desconocido,"La Universidad Politécnica de Valencia (nombre oficial: Universitat Politècnica de València)​ o UPV es una universidad pública española con sede en Valencia. La UPV está organizada en nueve escuelas técnicas superiores, dos facultades y dos escuelas politécnicas superiores, que se encargan de organizar la docencia de 39 grados, y cuenta con 42 departamentos y 41 centros e institutos de investigación.",37800,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/Technical_University_of_Valencia
Escuela Superior de Ingenieros de San Sebastián,Guipúzcoa,1961,Desconocido,"Tecnun, la Escuela de Ingeniería de la Universidad de Navarra, es uno de los centros docentes de la Universidad de Navarra. Se ubica en el Campus Tecnológico de la Universidad de Navarra en San Sebastián, Guipúzcoa (España). El Campus Tecnológico de la Universidad de Navarra cuenta, a su vez, con dos sedes, una ubicada en el campus Universitario de Ibaeta y otra en el Parque Tecnológico de Miramón, inaugurada en 2006 y diseñado por el arquitecto Patxi Mangado. La actividad científica de la Escuela de Ingeniería se desarrolla en colaboración con los investigadores de Ceit compaginando docencia e investigación.",1489,http://dbpedia.org/resource/Private_school,http://dbpedia.org/resource/Tecnun
Universidad Rey Juan Carlos,Madrid,--07-08,http://dbpedia.org/resource/Javier_Ramos,"La Universidad Rey Juan Carlos (por sus siglas, URJC) es una universidad pública española con sede en la Comunidad de Madrid. Cuenta con campus en Alcorcón, Aranjuez, Fuenlabrada, Madrid y Móstoles. Fundada en 1996, cuenta aproximadamente con 45 458 estudiantes, siendo por ello la segunda universidad de Madrid con mayor número de alumnos matriculados, y la sexta de España.​",45458,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/King_Juan_Carlos_University
IES La Rábida,Huelva,1856-06-13,Desconocido,"El Instituto de Educación Secundaria La Rábida (IES La Rábida) es un centro educativo público situado en la ciudad de Huelva, Andalucía, España. Es el centro educativo más antiguo de la provincia,​ llevando más de 160 años abierto. Además, el Instituto es considerado como referente en la educación de toda la provincia.​ El centro docente cuenta con una plantilla de 60 profesores y más de 1000 alumnos matriculados.",1000,Desconocido,http://dbpedia.org/resource/La_Rábida_High_School
Bircham International University,Madrid,1992,Desconocido,"Bircham International University es una institución privada, no acreditada, de educación superior a distancia.​​ Está registrada en España y Delaware, y anteriormente operaba desde las Bahamas.​",Desconocido,http://dbpedia.org/resource/Educational_accreditation,http://dbpedia.org/resource/Bircham_International_University
Universidad Pompeu Fabra,Cataluña,1990-06-18,http://dbpedia.org/resource/Oriol_Amat,"La Universidad Pompeu Fabra (UPF) es una universidad pública española ubicada en la ciudad de Barcelona. Académicamente está entre las 2000 mejores del mundo según la clasificación académica de universidades del THE, y es una de las siete universidades jóvenes que progresa más rápidamente a nivel mundial.​ En los últimos años, la universidad ha comenzado a sobresalir en algunos prestigiosos rankings internacionales. Actualmente imparte 27 titulaciones de grado, 33 másteres y 9 doctorados, así como más de cincuenta titulaciones de máster propias (datos del curso académico 2018-2019).​",9945,http://dbpedia.org/resource/Public_University,http://dbpedia.org/resource/Pompeu_Fabra_University
IE Business School,Madrid,1973,Desconocido,"IE Business School es la escuela de negocios de IE University. Se ubica en Madrid, España. Fundada en 1973 como Instituto de Empresa, está reconocida como una de las principales escuelas de negocios del mundo. Dispone de un campus urbano en Madrid, es una de las más diversas del mundo y supera los 40.000 graduados que trabajan en más de 125 países.​",Desconocido,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/IE_Business_School
IE Universidad,Madrid,1973,Desconocido,"IE Universidad​​ (habitualmente referida en inglés como IE University) es una universidad privada española cuyo nombre corresponde a las iniciales de Instituto de Empresa, su sociedad gestora.​ En la actualidad tiene dos campus: uno en Segovia (Castilla y León) y otro en Madrid (Comunidad de Madrid). Los programas IE University se imparten tanto en inglés como en español y sus planes de estudios están adaptados al Espacio Europeo de Educación Superior.",7000,Desconocido,http://dbpedia.org/resource/IE_University
Instituto Barcelona de Estudios Internacionales,Barcelona,2004,Desconocido,"El Instituto Barcelona de Estudios Internacionales (IBEI)​ (en catalán: Institut Barcelona d’Estudis Internacionals) es un instituto interuniversitario de investigación y un centro de enseñanza de posgrado situado en Barcelona. El IBEI fue creado en el año 2004 de manera conjunta por cuatro universidades públicas de Barcelona (Universidad Pompeu Fabra, Universidad de Barcelona, Universidad Autónoma de Barcelona, Universidad Politécnica de Cataluña), la Universidad Abierta de Cataluña y la Fundación CIDOB (Barcelona Centre for International Affairs), con el propósito de impulsar la formación avanzada e investigación en Relaciones Internacionales y materias afines. El actual director del instituto es Jacint Jordana, catedrático de Ciencia Política de la Universidad Pompeu Fabra, su presidente es Narcís Serra, ex Ministro de Defensa y ex Vicepresidente primero del Gobierno de España.",Desconocido,Desconocido,http://dbpedia.org/resource/Institut_Barcelona_d'Estudis_Internacionals
Universidad Miguel Hernández,Elche,1996,Desconocido,"La Universidad Miguel Hernández (UMH), oficialmente Universidad de Miguel Hernández de Elche,​ es una universidad pública española multicampus de la provincia de Alicante cuya sede principal está en Elche.",14000,http://dbpedia.org/resource/Public_University,http://dbpedia.org/resource/Miguel_Hernández_University_of_Elche
Universidad Europea Miguel de Cervantes,Valladolid,2002,Desconocido,"La Universidad Europea Miguel de Cervantes (UEMC) es una universidad privada ubicada en Valladolid, Castilla y León (España).​ Tiene 4500 estudiantes matriculados, repartidos en cuatro centros en los que se imparten los 17 grados, 6 dobles grados, 6 dobles grados internacionales, 11 másteres, un programa de doctorado y numerosos títulos propios que ofrece la universidad, que imparte tanto en su modalidad presencial como en línea.​",Desconocido,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/Miguel_de_Cervantes_European_University
Universidad Nacional de Educación a Distancia,Madrid,1972-08-18,http://dbpedia.org/resource/Ricardo_Mairal_Uson,"La Universidad Nacional de Educación a Distancia (UNED) es una universidad pública española de ámbito nacional, creada en 1972 y que se encuentra vinculada administrativamente al Ministerio de Universidades​. Es la primera universidad de España por número de alumnos matriculados, con 156.975 estudiantes.​ Tiene su sede central en la ciudad de Madrid, en los campus universitarios de Senda del Rey y de Ciudad Universitaria, si bien cuenta con una amplia red de centros asociados repartidos por todo el territorio español y parte del extranjero.​ La UNED se caracteriza por ofrecer una modalidad de educación a distancia semipresencial, basada en las nuevas tecnologías y sistemas tradicionales a través de los siguientes medios: cursos virtuales en Internet (foros, videoconferencias, webconferencias, pizarra virtual, laboratorios, etc.), libros de referencia en su campo, apuntes de docentes, en combinación con tutorías presenciales o virtuales en ciudades donde dispone de centros asociados mediante el sistema AVIP. La UNED no exige nota de corte, ni impone cuotas o máximos de estudiantes en cada grado. Los estudios de la UNED están basados en el sistema europeo de créditos European Credit Transfer and Accumulation System (ECTS).",195,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/National_University_of_Distance_Education
Universidad Abierta de Cataluña,Barcelona,1994-10-06,http://dbpedia.org/resource/Josep_A._Planell_i_Estany,"La Universidad Abierta de Cataluña​ (en catalán, Universitat Oberta de Catalunya), conocida como la UOC, es una universidad a distancia que se organiza mediante gestión privada.​ Con sede en Barcelona, fue creada en junio de 1995. La oferta académica de la UOC incluye grados, másteres, estudios de posgrado, especializaciones, seminarios, asignaturas para cursar libremente, cursos de idiomas y programas de doctorado.​ Las lenguas que se utilizan para desarrollar la actividad académica son el castellano, el inglés y el catalán, según los requerimientos de cada uno de los programas académicos. La UOC, aun siendo de gestión privada, forma parte de la (ACUP).​ Esta fue creada en el año 2002, e incluye a la Universidad de Barcelona (UB), Autónoma de Barcelona (UAB), Politécnica de Cataluña (UPC), Pompeu Fabra (UPF), y universidades de Gerona (UdG), Lérida (UdL) y Rovira i Virgili (URV).​ También forma parte de la Red Vives de Universidades,​ una red de universidades que imparten cursos en lengua catalana, nombrada en honor al humanista Juan Luis Vives; y de la .​ El (IN3), el (eLC) y el constituyen los tres centros de investigación de la UOC.​ Según la propia universidad, su modelo educativo está basado en la formación continua a través del e-learning.​​",70274,Desconocido,http://dbpedia.org/resource/Open_University_of_Catalonia
Universidad Ramon Llull,Barcelona,1990,Desconocido,"La Universidad Ramon Llull (URL), (en catalán y oficialmente Universitat Ramon Llull), es una universidad privada de inspiración cristiana ubicada en Barcelona, Cataluña (España), nombrada así en homenaje al beato Ramon Llull.",Desconocido,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/University_Ramon_Llull
Universidad Internacional de Valencia,Valencia,2008,Desconocido,"La Universidad Internacional de Valencia es una universidad privada de educación en línea. Su sede principal está en Valencia, sin embargo los alumnos pueden acceder a todos sus cursos a distancia. Fue creada en 2008 por la Generalitat Valenciana (el Gobierno Autonómico de la Comunidad Valenciana) como entidad privada sin ánimo de lucro, con el nombre Universidad Internacional Valenciana.​ Al igual que el resto de universidades españolas, está sujeta al ordenamiento universitario vigente.​ La actividad de la Universidad comenzó en 2009, después de que se aprobase el reglamento correspondiente.​ En 2013, la Generalitat vendió el 70% de la sociedad al Grupo Planeta, que se hizo cargo de su gestión.​​",Desconocido,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/Valencian_International_University
Universidad de Cantabria,Comillas (Madrid),1972,Desconocido,"La Universidad de Cantabria (UC) es una universidad pública radicada en la comunidad autónoma de Cantabria (España). Tiene quince centros distribuidos en tres campus, uno localizado en Santander, otro situado en Torrelavega y un tercero en Comillas. Para el curso 2017-2018 cuenta con 11.862 alumnos y 1.273 profesores.​ La Universidad de Cantabria ha obtenido la calificación definitiva como Campus de Excelencia Internacional por el Gobierno de España en diciembre de 2014.​ y forma parte como miembro fundador del Grupo 9 de Universidades (G9) españolas, creado en 1997 con el objetivo de promover la colaboración entre las instituciones universitarias que lo integran, tanto en lo que respecta a las actividades docentes e investigadoras como a las de gestión y servicios. También está integrada en la alianza europea de universidades (European University for Customised Education). Anualmente la universidad publica su memoria anual de actividades.​",14205,Desconocido,http://dbpedia.org/resource/University_of_Cantabria
Universidad Nebrija,Madrid,1995,Desconocido,"La Universidad Nebrija es una universidad española privada e independiente, con sede en la ciudad de Madrid y con otros campus en la Comunidad de Madrid. Esta institución educativa fundada en 1995, acoge a más de 12 000 alumnos de 56 nacionalidades diferentes. Su nombre rinde homenaje a Elio Antonio de Nebrija, padre de la primera gramática castellana, escrita en 1492. La Universidad ofrece estudios universitarios​ de grado y posgrado, así como escuela de doctorado, estudios internacionales e idiomas.",12,Desconocido,http://dbpedia.org/resource/Nebrija_University
Facultad de Teología de la Unión Evangélica Bautista de España,Alcobendas,1922,Desconocido,"Facultad de Teología de la Unión Evangélica Bautista de España (FTUEBES) o Seminario Teológico UEBE es un colegio bíblico bautista, en Alcobendas, Comunidad de Madrid, España. Él está afiliado a la Unión Evangélica Bautista de España.",40,http://dbpedia.org/resource/Seminary,http://dbpedia.org/resource/Faculty_of_Theology_of_the_Evangelical_Baptist_Union_of_Spain
ICADE,Madrid,1956,Desconocido,"ICADE es el acrónimo de Instituto Católico de Administración y Dirección de Empresas, institución educativa creada en 1956 y que en 1978 se integró en la Universidad Pontificia Comillas dando lugar a dos facultades de dicha universidad:​ 
* la Facultad de Derecho (ICADE) 
* la Facultad de Ciencias Económicas y Empresariales (ICADE) En la actualidad, según el Manual de Identidad Corporativa de la Universidad Pontificia Comillas, solamente se puede añadir este acrónimo, entre paréntesis, a continuación del nombre oficial de cada una de esas dos facultades, en recuerdo al nombre de la desaparecida institución.​",Desconocido,Desconocido,http://dbpedia.org/resource/ICADE
Escuela Naval Militar (Argentina),Marín (Pontevedra),1717,Desconocido,"La Escuela Naval Militar es el centro de formación para los futuros oficiales de la Armada Española. La Escuela Naval Militar se encuentra en Marín (Pontevedra, Galicia) desde 1943, fecha en que fue trasladada desde su anterior ubicación en la Población naval de San Carlos, San Fernando, Cádiz.Tanto el rey Felipe VI como su padre realizaron parte de su formación militar en la Escuela Naval Militar de Marín. El comandante director de la Escuela Naval es el capitán de navío Pedro Cardona Suanzes.​",Desconocido,Desconocido,http://dbpedia.org/resource/Naval_Military_Academy
Universidad de Gerona,Cataluña,1446,http://dbpedia.org/resource/Quim_Salvi,"La Universidad de Gerona (UdG) (en catalán, Universitat de Girona) es una universidad pública ubicada en Gerona, Cataluña (España). Fue reconocida como universidad el año 1997, fruto de la fusión de diversos centros de estudios universitarios de Gerona adscritos a otras universidades, aunque sus orígenes se remontan al Estudio General, un ente creado en 1446 por Alfonso el Magnánimo. La universidad está formada por cinco campus—los más importantes, el de Montilivi y el del casco antiguo—, aparte del Parque Científico y Tecnológico. En 2009 acogía 12.977 estudiantes y tenía 1200 profesores.​ La UdG forma parte una alianza estratégica con la Universidad de las Islas Baleares, la Universidad de Perpiñán, la Universidad Pierre y Marie Curie y la Universidad de Lérida para formar el «Centro para la investigación y la educación superior-Pirineos Mediterráneo». Además, junto con la Universidad de las Islas Baleares, el Consejo Superior de Investigaciones Científicas y el impulsan el Campus Euromediterráneo del Turismo y del Agua (e-MTA), que en 2011 obtuvo la distinción de Campus de Excelencia Internacional.",15000,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Girona
Universidad de Castilla-La Mancha,Ayuntamiento de Ciudad Real,1982,Desconocido,"La Universidad de Castilla-La Mancha (UCLM) es una universidad pública española en la comunidad autónoma de Castilla-La Mancha con campus en Albacete, Cuenca, Ciudad Real y Toledo y sedes adicionales en Talavera de la Reina y Almadén. Su actual rector es, desde 2020, Julián Garde. Fue fundada en 1982, arrancando su primer curso académico en 1985, integrando los diferentes centros universitarios existentes en las cuatro provincias y que pertenecían a las universidades Complutense, Autónoma y Politécnica de Madrid, y la Universidad de Murcia (los centros de Albacete). En la actualidad cuenta con 30 000 alumnos y 2300 profesores, ofertando más de 50 titulaciones diferentes de grado y más de 100 de posgrado de todas las áreas del conocimiento.​ La investigación es un pilar fundamental de la universidad, que cuenta con 35 centros e institutos de investigación y desarrollo entre los que destaca el Instituto de Desarrollo Regional así como con el Parque Científico y Tecnológico de Castilla-La Mancha. La Biblioteca de la Universidad de Castilla-La Mancha cuenta con más de 1,3 millones de volúmenes.",Desconocido,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Castilla–La_Mancha
